Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	812.0	815.0	0	15000	Cedar Waxwing	cedwax	0.7755	/Users/patrick/Desktop/creation/birds/recordings/20260107_122900.WAV	42.0
2	Spectrogram 1	1	815.0	818.0	0	15000	Cedar Waxwing	cedwax	0.6509	/Users/patrick/Desktop/creation/birds/recordings/20260107_122900.WAV	45.0
3	Spectrogram 1	1	1457.0	1460.0	0	15000	Fish Crow	fiscro	0.6501	/Users/patrick/Desktop/creation/birds/recordings/20260107_124100.WAV	27.0
4	Spectrogram 1	1	1628.0	1631.0	0	15000	Pileated Woodpecker	pilwoo	0.9825	/Users/patrick/Desktop/creation/birds/recordings/20260107_124400.WAV	33.0
5	Spectrogram 1	1	1631.0	1634.0	0	15000	Pileated Woodpecker	pilwoo	0.9719	/Users/patrick/Desktop/creation/birds/recordings/20260107_124400.WAV	36.0
6	Spectrogram 1	1	2138.0	2141.0	0	15000	Carolina Wren	carwre	0.8868	/Users/patrick/Desktop/creation/birds/recordings/20260107_125300.WAV	48.0
7	Spectrogram 1	1	2141.0	2144.0	0	15000	Carolina Wren	carwre	0.9353	/Users/patrick/Desktop/creation/birds/recordings/20260107_125300.WAV	51.0
8	Spectrogram 1	1	2145.0	2148.0	0	15000	Carolina Wren	carwre	0.9910	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	0.0
9	Spectrogram 1	1	2148.0	2151.0	0	15000	Carolina Wren	carwre	0.9212	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	3.0
10	Spectrogram 1	1	2154.0	2157.0	0	15000	Carolina Wren	carwre	0.8630	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	9.0
11	Spectrogram 1	1	2160.0	2163.0	0	15000	Carolina Wren	carwre	0.9682	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	15.0
12	Spectrogram 1	1	2166.0	2169.0	0	15000	Carolina Wren	carwre	0.9657	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	21.0
13	Spectrogram 1	1	2172.0	2175.0	0	15000	Carolina Wren	carwre	0.6929	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	27.0
14	Spectrogram 1	1	2178.0	2181.0	0	15000	Carolina Wren	carwre	0.9259	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	33.0
15	Spectrogram 1	1	2184.0	2187.0	0	15000	Carolina Wren	carwre	0.9709	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	39.0
16	Spectrogram 1	1	2190.0	2193.0	0	15000	Carolina Wren	carwre	0.9130	/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV	45.0
17	Spectrogram 1	1	2200.0	2203.0	0	15000	Carolina Wren	carwre	0.9287	/Users/patrick/Desktop/creation/birds/recordings/20260107_125500.WAV	0.0
18	Spectrogram 1	1	3031.0	3034.0	0	15000	Red-shouldered Hawk	reshaw	0.7631	/Users/patrick/Desktop/creation/birds/recordings/20260107_131000.WAV	6.0
19	Spectrogram 1	1	3138.0	3141.0	0	15000	Downy Woodpecker	dowwoo	0.6945	/Users/patrick/Desktop/creation/birds/recordings/20260107_131200.WAV	3.0
20	Spectrogram 1	1	3202.0	3205.0	0	15000	Downy Woodpecker	dowwoo	0.9506	/Users/patrick/Desktop/creation/birds/recordings/20260107_131300.WAV	12.0
21	Spectrogram 1	1	3238.0	3241.0	0	15000	Green-winged Teal	gnwtea	0.7109	/Users/patrick/Desktop/creation/birds/recordings/20260107_131300.WAV	48.0
22	Spectrogram 1	1	3248.0	3251.0	0	15000	Tufted Titmouse	tuftit	0.6692	/Users/patrick/Desktop/creation/birds/recordings/20260107_131400.WAV	3.0
23	Spectrogram 1	1	3385.0	3388.0	0	15000	Downy Woodpecker	dowwoo	0.8617	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	30.0
24	Spectrogram 1	1	3388.0	3391.0	0	15000	Downy Woodpecker	dowwoo	0.9773	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	33.0
25	Spectrogram 1	1	3391.0	3394.0	0	15000	Downy Woodpecker	dowwoo	0.9910	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	36.0
26	Spectrogram 1	1	3394.0	3397.0	0	15000	Downy Woodpecker	dowwoo	0.9452	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	39.0
27	Spectrogram 1	1	3397.0	3400.0	0	15000	Downy Woodpecker	dowwoo	0.7153	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	42.0
28	Spectrogram 1	1	3400.0	3403.0	0	15000	Downy Woodpecker	dowwoo	0.8720	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	45.0
29	Spectrogram 1	1	3403.0	3406.0	0	15000	Downy Woodpecker	dowwoo	0.8662	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	48.0
30	Spectrogram 1	1	3406.0	3409.0	0	15000	Downy Woodpecker	dowwoo	0.9957	/Users/patrick/Desktop/creation/birds/recordings/20260107_131600.WAV	51.0
31	Spectrogram 1	1	3410.0	3413.0	0	15000	Downy Woodpecker	dowwoo	0.9742	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	0.0
32	Spectrogram 1	1	3413.0	3416.0	0	15000	Downy Woodpecker	dowwoo	0.7515	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	3.0
33	Spectrogram 1	1	3416.0	3419.0	0	15000	Downy Woodpecker	dowwoo	0.8962	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	6.0
34	Spectrogram 1	1	3419.0	3422.0	0	15000	Downy Woodpecker	dowwoo	0.9640	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	9.0
35	Spectrogram 1	1	3422.0	3425.0	0	15000	Downy Woodpecker	dowwoo	0.9403	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	12.0
36	Spectrogram 1	1	3425.0	3428.0	0	15000	Downy Woodpecker	dowwoo	0.9487	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	15.0
37	Spectrogram 1	1	3428.0	3431.0	0	15000	Downy Woodpecker	dowwoo	0.9701	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	18.0
38	Spectrogram 1	1	3431.0	3434.0	0	15000	Downy Woodpecker	dowwoo	0.9905	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	21.0
39	Spectrogram 1	1	3434.0	3437.0	0	15000	Downy Woodpecker	dowwoo	0.9723	/Users/patrick/Desktop/creation/birds/recordings/20260107_131700.WAV	24.0
